food_type,protein,fat,carb,sugar,sodium,cholesterol,calcium,kcal
Bread ,9.43,3.59,49.2,5.34,477,not found,211,1130.0
Oil (cooking) ,1.26,3.24,30.9,not found,116,0.0,3.0,144
Pulses ,17.9,7.14,60.7,not found,393,0.0,107,393
Rice (high quality) ,7.19,3.85,75.5,not found,1.0,not found,10.0,365
Rice (low quality) ,7.19,3.85,75.5,not found,1.0,not found,10.0,365
Sugar ,0.0,0.32,99.6,99.8,1.0,not found,1.0,385
Wheat ,15.1,2.73,71.2,not found,3.0,not found,38.0,1550.0
Wheat flour (high quality) ,15.1,2.73,71.2,not found,3.0,not found,38.0,1550.0
Wheat flour (low quality) ,15.1,2.73,71.2,not found,3.0,not found,38.0,1550.0
Oil (palm) ,0.0,100,0.0,not found,0.0,0.0,0.0,3700.0
Oil (soybean) ,not found,not found,not found,not found,not found,not found,not found,not found
Meat (beef) ,11.7,28.0,2.89,1.26,872,not found,15.0,1310.0
Milk ,7.81,11.0,6.86,not found,105,48.0,224,157
Potatoes ,2.7,0.0,16.9,not found,0.0,0.0,0.0,74.0
Rice (white) ,6.94,1.3,79.8,not found,5.0,not found,6.0,359
Wheat flour ,15.1,2.73,71.2,not found,3.0,not found,38.0,1550.0
Apples (red) ,0.188,0.212,14.8,12.2,0.0,not found,4.66,not found
Beans ,4.58,2.67,16.8,not found,336,0.0,0.0,107
Beetroots ,10.7,25.0,57.1,not found,511,0.0,143,479
Bread (first grade flour) ,14.3,1.65,72.8,not found,3.0,not found,19.0,1520.0
Bread (high grade flour) ,14.3,1.65,72.8,not found,3.0,not found,19.0,1520.0
Buckwheat ,13.2,3.4,71.5,not found,1.0,0.0,18.0,343
Cabbage ,1.1,0.5,2.4,not found,498,0.0,33.0,65.0
Carrots ,0.81,0.47,7.92,4.2,66.0,not found,33.0,153
Cheese (dry) ,24.5,24.3,2.07,0.43,1810.0,78.0,661,326
Cucumbers (greenhouse) ,0.48,0.43,1.99,1.28,808,not found,54.0,12.0
Fish (fresh) ,16.3,0.45,0.0,not found,213,54.0,11.0,308
Lentils ,4.07,0.0,11.4,not found,233,0.0,16.0,65.0
Meat (chicken) ,23.9,5.95,0.0,not found,117,127,12.0,156
Meat (pork) ,7.38,9.04,15.8,0.46,473,20.0,75.0,174
Oil (vegetable) ,0.0,100,0.0,not found,0.0,0.0,0.0,886
Onions ,0.94,0.1,9.93,5.76,1.0,not found,17.0,186
Pasta ,1.41,1.48,8.05,5.5,419,not found,27.0,186
"Peas (split, dry) ",3.2,1.09,9.88,not found,336,0.0,12.0,61.0
Tomatoes ,0.696,0.425,3.84,not found,0.0,not found,9.96,not found
Tomatoes (paste) ,0.696,0.425,3.84,not found,0.0,not found,9.96,not found
Lentils (masur) ,3.67,5.61,12.3,not found,383,0.0,25.0,110
Rice (coarse) ,11.7,1.6,73.8,not found,0.0,not found,17.2,not found
"Rice (coarse, BR",not found,not found,not found,not found,not found,not found,not found,not found
Rice (medium grain) ,7.19,3.85,75.5,not found,1.0,not found,10.0,365
Chickpeas ,4.62,1.54,15.4,not found,246,0.0,31.0,92.0
Ghee (vanaspati) ,0.28,99.5,0.0,not found,2.0,256,4.0,876
Lentils (moong) ,3.67,5.61,12.3,not found,383,0.0,25.0,110
Lentils (urad) ,3.67,5.61,12.3,not found,383,0.0,25.0,110
Milk (pasteurized) ,10.1,0.16,0.74,not found,144,3.0,9.0,201
Oil (groundnut) ,not found,not found,not found,not found,not found,not found,not found,not found
Oil (mustard) ,4.25,3.38,5.3,1.42,1100.0,not found,63.0,61.0
Oil (sunflower) ,not found,not found,not found,not found,not found,not found,not found,not found
Rice ,7.19,3.85,75.5,not found,1.0,not found,10.0,365
Sugar (jaggery/gur) ,not found,not found,not found,not found,not found,not found,not found,not found
Tea (black) ,0.0,0.0,0.3,not found,3.0,0.0,0.0,1.0
Beans (black) ,10.6,6.81,19.1,not found,275,11.0,24.0,177
Beans (red) ,21.3,1.16,not found,not found,not found,not found,148,not found
Beans (white) ,6.5,4.21,25.2,not found,231,0.0,54.0,164
Cassava (cossette) ,1.42,3.02,39.6,not found,146,2.0,17.0,191
Cassava (fresh) ,1.42,3.02,39.6,not found,146,2.0,17.0,191
Cassava flour ,11.4,1.52,74.4,not found,0.0,not found,18.7,not found
Cassava meal (gari) ,6.2,1.74,80.8,1.04,0.0,not found,0.0,1520.0
"Cassava meal (gari, fine) ",6.2,1.74,80.8,1.04,0.0,not found,0.0,1520.0
Cassava meal (tapioca) ,6.2,1.74,80.8,1.04,0.0,not found,0.0,1520.0
Coconut (dried) ,79.9,0.65,6.02,not found,1250.0,17.0,104,376
"Fish (fresh, silvi) ",16.3,0.45,0.0,not found,213,54.0,11.0,308
Fish (tilapia) ,16.3,0.45,0.0,not found,213,54.0,11.0,308
Groundnuts (Bambara) ,not found,not found,not found,not found,not found,not found,not found,not found
"Groundnuts (small, unshelled) ",23.5,1.28,not found,not found,not found,not found,149,not found
Leafy vegetables ,1.04,0.39,4.11,1.29,282,not found,36.0,86.0
Lemons ,0.88,0.0,9.73,not found,0.0,not found,26.0,31.0
Maize ,8.75,5.09,73.9,not found,5.0,not found,5.0,364
Maize (white) ,79.9,0.65,6.02,not found,1250.0,17.0,104,376
Millet ,10.8,4.25,75.1,not found,4.0,not found,14.0,1600.0
Oil (palm nut) ,0.0,100,0.0,not found,0.0,0.0,0.0,3700.0
Okra (fresh) ,2.02,2.92,7.76,not found,139,2.0,86.0,59.0
Oranges ,0.91,0.15,11.8,8.57,9.0,not found,43.0,196
Papaya ,2.5,0.0,65.0,not found,18.0,0.0,150,250
"Peas (green, dry) ",5.42,0.4,14.4,not found,5.0,0.0,25.0,81.0
"Peppers (red, dry) ",1.01,2.94,6.09,not found,131,2.0,8.0,50.0
Plantains ,2.28,29.6,63.8,not found,202,0.0,9.0,531
Rice (imported) ,7.19,3.85,75.5,not found,1.0,not found,10.0,365
Rice (local) ,7.19,3.85,75.5,not found,1.0,not found,10.0,365
Rice (paddy) ,7.19,3.85,75.5,not found,1.0,not found,10.0,365
Shrimps ,15.4,1.48,10.8,not found,509,138,69.0,122
Snail ,16.1,1.4,2.0,not found,70.0,50.0,10.0,90.0
Sorghum ,10.6,3.46,72.1,not found,2.0,0.0,13.0,329
Sorghum (red) ,0.94,0.1,9.93,5.76,1.0,not found,17.0,186
Soybeans ,not found,not found,not found,not found,not found,not found,not found,not found
Sweet potatoes ,8.88,13.6,25.5,10.3,304,24.0,46.0,260
Taro ,2.3,24.9,68.1,not found,342,0.0,60.0,498
