food_type,protein,fat,carb,sugar,sodium,cholesterol,calcium,kcal
Groundnuts (Bambara) ,not found,not found,not found,not found,not found,not found,not found,not found
"Peppers (red, dry) ",1.01,2.94,6.09,4.24,131,2.0,8.0,50.0
"Groundnuts (small, unshelled) ",23.5,1.28,not found,not found,not found,not found,149,not found
Cassava meal (tapioca) ,1.42,3.02,39.6,1.77,146,2.0,17.0,191
Coconut (dried) ,5.3,69.1,21.5,not found,37.0,0.0,26.0,684
Yam (white) ,1.53,0.17,27.9,0.5,9.0,0.0,17.0,494
"Fish (fresh, silvi) ",23.3,4.9,0.0,0.0,39.0,38.0,8.0,144
Oil (palm nut) ,0.0,100,0.0,0.0,0.0,0.0,0.0,3700.0
"Cassava meal (gari, fine) ",6.2,1.74,80.8,not found,0.0,not found,0.0,1520.0
Yam (dry) ,1.53,0.17,27.9,0.5,9.0,0.0,17.0,494
Yam (flour) ,1.53,0.17,27.9,0.5,9.0,0.0,17.0,494
Beans (red) ,21.3,1.16,not found,not found,not found,not found,148,not found
Beans (black) ,10.6,6.81,19.1,0.36,275,11.0,24.0,177
Rice (paddy) ,13.3,0.0,77.8,0.0,0.0,0.0,0.0,378
Cassava (fresh) ,1.42,3.02,39.6,1.77,146,2.0,17.0,191
Yam (yellow) ,1.53,0.17,27.9,0.5,9.0,0.0,17.0,494
Leafy vegetables ,6.46,3.32,5.56,0.85,270,15.0,29.0,78.0
Maize ,8.75,5.09,73.9,not found,5.0,not found,5.0,364
"Peas (green, dry) ",5.42,0.4,14.4,5.67,5.0,0.0,25.0,81.0
Shrimps ,15.4,1.48,10.8,4.09,509,138,69.0,122
Taro ,2.3,24.9,68.1,3.82,342,0.0,60.0,498
Snail ,16.1,1.4,2.0,0.0,70.0,50.0,10.0,90.0
"Meat (beef, chops with bones) ",29.9,19.1,0.0,0.0,372,119,17.0,299
"Meat (chicken, whole) ",25.3,8.1,0.9,0.0,482,50.0,14.0,185
Noodles (short) ,2.36,0.19,28.7,not found,0.0,0.0,1.0,130
"Potatoes (Irish, imilla) ",0.27,2.41,2.03,2.04,3.0,7.0,6.0,88.0
Rice (estaquilla) ,5.13,2.25,17.3,0.87,316,53.0,15.0,112
Bread (wheat) ,10.7,4.53,47.5,5.73,473,0.0,125,274
Milk (non,not found,not found,not found,not found,not found,not found,not found,not found
Wheat flour (local) ,9.61,1.95,74.5,1.02,3.0,0.0,33.0,332
"Rice (ordinary, first quality) ",5.13,2.25,17.3,0.87,316,53.0,15.0,112
"Rice (ordinary, second quality) ",5.13,2.25,17.3,0.87,316,53.0,15.0,112
Quinoa ,2.86,1.79,20.0,2.14,157,0.0,14.0,107
Rice (Grano de Oro) ,4.21,1.7,40.8,0.0,4.0,0.0,21.0,836
Rice (carolina 2da) ,5.13,2.25,17.3,0.87,316,53.0,15.0,112
"Rice (carolina, 1st) ",5.13,2.25,17.3,0.87,316,53.0,15.0,112
Rice (long grain) ,2.91,0.37,26.0,0.11,2.0,0.0,19.0,123
Groundnuts (unshelled) ,18.3,28.3,26.7,23.3,175,0.0,0.0,0.0
Beans (niebe) ,5.44,3.7,15.9,0.99,443,0.0,26.0,119
Sorghum (white) ,10.6,3.46,72.1,2.53,2.0,0.0,13.0,329
Groundnuts (shelled) ,6.5,28.6,56.2,4.23,467,0.0,21.0,508
Sorghum (local) ,10.6,3.46,72.1,2.53,2.0,0.0,13.0,329
Potatoes (Irish) ,0.27,2.41,2.03,2.04,3.0,7.0,6.0,88.0
Bananas ,3.89,1.81,88.3,47.3,3.0,0.0,22.0,346
"Rice (high quality, local) ",0.0,100,0.0,0.0,6.0,0.0,1.0,3700.0
"Rice (low quality, local) ",0.3,19.2,16.0,4.2,110,24.0,0.0,967
Meat (goat) ,20.6,2.31,0.0,not found,82.0,57.0,13.0,109
Avocados ,3.33,15.0,10.0,0.0,0.0,0.0,0.0,167
"Fish (lates,dry,local) ",25.7,5.44,0.0,not found,77.0,76.0,9.0,159
"Fish (lates,dry,imported) ",25.7,5.44,0.0,not found,77.0,76.0,9.0,159
"Rice (mixed, low quality) ",10.6,1.62,76.4,3.83,1080.0,not found,29.0,363
Fish (snake head) ,13.8,10.9,0.0,0.0,941,69.0,16.0,157
Fish (catfish) ,15.2,5.94,0.0,0.0,98.0,55.0,8.0,496
"Meat (pork, with fat) ",1.76,94.2,0.0,not found,5.0,110,1.0,857
Eggplants ,4.25,13.2,9.63,2.81,219,0.0,97.0,162
Snake gourd ,1.2,0.2,4.35,2.02,3.0,0.0,20.0,84.0
"Cabbage (chinese, flowering) ",1.5,0.2,2.18,1.18,65.0,0.0,105,13.0
"Fish (snake head, dry) ",25.7,5.44,0.0,not found,77.0,76.0,9.0,159
Eggs (duck) ,12.0,18.5,1.36,0.87,266,828,60.0,223
"Beans (yardlong, green) ",2.8,0.4,8.35,not found,4.0,0.0,50.0,47.0
Water spinach ,2.92,0.98,2.88,1.68,182,2.0,73.0,30.0
"Eggs (duck, fermented) ",12.0,18.5,1.36,0.87,266,828,60.0,223
Fish (striped catfish) ,17.7,2.33,0.0,not found,69.0,80.0,15.0,97.0
Wax gourd ,1.2,0.2,4.35,2.02,3.0,0.0,20.0,84.0
Prawn ,13.6,0.0,0.91,0.0,173,127,55.0,73.0
Sesame ,3.1,45.2,8.6,8.32,1000.0,0.0,19.0,443
Maize (local) ,8.75,5.09,73.9,not found,5.0,not found,5.0,364
Cassava ,3.88,0.97,33.0,0.0,53.0,0.0,19.0,146
"Oil (vegetable, imported) ",0.0,100,0.0,0.0,0.0,0.0,0.0,886
"Meat (chicken, frozen) ",14.4,15.4,16.2,1.27,538,34.0,38.0,1090.0
"Fish (sardine, canned) ",24.6,11.4,0.0,0.0,307,142,382,208
Squashes ,4.0,8.01,26.6,15.6,166,38.0,65.0,191
"Rice (broken, imported) ",22.2,4.36,0.1,0.0,40.0,55.0,4.0,537
Charcoal ,0.0,0.0,1.69,1.35,0.0,0.0,17.0,5.0
Fish (frozen) ,11.0,16.2,21.7,1.65,402,28.0,16.0,1160.0
Water (drinking) ,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0
Laundry soap ,1.6,1.2,10.4,0.8,624,0.0,16.0,56.0
Laundry detergent ,not found,not found,not found,not found,not found,not found,not found,not found
Pasta (spaghetti) ,1.41,1.48,8.05,not found,419,not found,27.0,186
Livestock (cattle) ,4.62,0.0,13.8,0.77,315,0.0,54.0,77.0
"Livestock (sheep, medium",not found,not found,not found,not found,not found,not found,not found,not found
"Livestock (goat, medium",not found,not found,not found,not found,not found,not found,not found,not found
Peanut ,7.14,21.4,64.3,42.9,304,18.0,not found,464
Sorghum (berbere) ,10.6,3.46,72.1,2.53,2.0,0.0,13.0,329
Rice (Indica) ,5.13,2.25,17.3,0.87,316,53.0,15.0,112
Rice (Japonica) ,8.89,3.33,73.3,0.0,0.0,0.0,0.0,333
Wheat flour (first grade) ,9.61,1.95,74.5,1.02,3.0,0.0,33.0,332
Garlic ,0.0,0.0,33.3,not found,0.0,not found,667,167
Onions (red) ,0.94,0.1,9.93,not found,1.0,not found,17.0,186
Onions (white) ,0.89,0.13,7.68,not found,2.0,not found,21.0,148
Potatoes (black) ,0.04,0.14,21.2,17.4,4.0,0.0,0.0,279
Coffee ,0.0,0.0,0.32,0.0,0.0,0.0,not found,1.0
"Eggs (white, AA) ",10.7,0.0,2.36,not found,not found,not found,not found,55.0
Oranges (big size) ,12.8,11.6,21.0,3.7,454,35.0,124,234
Cassava (dry) ,1.42,3.02,39.6,1.77,146,2.0,17.0,191
Cheese (local) ,16.1,23.1,8.85,6.24,1280.0,78.0,1380.0,307
"Fish (tuna, canned) ",29.1,8.21,0.0,0.0,416,18.0,13.0,830
Onions (local) ,1.1,0.1,9.34,4.24,4.0,0.0,23.0,40.0
Tomatoes (local) ,0.88,0.2,3.89,2.63,5.0,0.0,10.0,18.0
Spinach ,2.35,0.0,3.53,0.0,76.0,0.0,99.0,24.0
Beans (string) ,1.45,2.7,6.25,1.82,131,2.0,48.0,50.0
Blackberry ,0.58,0.29,4.96,1.45,0.0,0.0,2.0,25.0
Broccoli ,2.7,0.34,5.41,1.35,54.0,0.0,41.0,34.0
Mangoes ,0.71,0.0,17.1,15.0,0.0,0.0,14.0,71.0
Pumpkin ,1.67,0.0,9.17,3.33,8.0,0.0,33.0,42.0
Tomatoes (dried) ,14.1,2.97,55.8,37.6,107,0.0,110,258
Cheese ,16.7,33.3,3.33,0.0,600,100,503,367
Lentils (imported) ,3.67,5.61,12.3,3.24,383,0.0,25.0,110
Eggs (local) ,10.7,0.0,2.36,not found,not found,not found,not found,55.0
Peas (fresh) ,5.46,3.43,14.6,5.72,122,0.0,25.0,108
Peppers (red) ,1.01,2.94,6.09,4.24,131,2.0,8.0,50.0
"Meat (chicken, whole, frozen) ",14.4,15.4,16.2,1.27,538,34.0,38.0,1090.0
Beans (cranberry) ,24.4,1.23,not found,not found,not found,not found,152,not found
"Beans (green, fresh) ",1.84,3.25,7.03,3.29,123,0.0,37.0,58.0
"Beans (black, imported) ",10.6,6.81,19.1,0.36,275,11.0,24.0,177
Passion fruit ,1.11,0.0,6.67,0.0,6.0,0.0,0.0,33.0
Sugar (brown) ,0.12,0.0,98.1,97.0,28.0,0.0,83.0,380
Guava ,0.6,0.2,11.2,7.5,10.0,0.0,20.0,49.0
Cocoa ,20.0,20.0,10.0,10.0,0.0,0.0,not found,300
"Sugar (brown, loaf) ",0.12,0.0,98.1,97.0,28.0,0.0,83.0,380
"Beans (red, fresh) ",1.84,3.25,7.03,3.29,123,0.0,37.0,58.0
Barley ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fish (smoked) ,16.4,11.9,0.0,0.0,481,32.0,26.0,177
Fish (salted) ,18.5,25.1,0.0,0.0,4450.0,95.0,66.0,1280.0
Groundnuts (paste) ,9.0,27.7,47.8,36.2,9.0,0.0,172,458
"Rice (denikassia, imported) ",22.2,4.36,0.1,0.0,40.0,55.0,4.0,537
Yam (florido) ,1.53,0.17,27.9,0.5,9.0,0.0,17.0,494
Cornstarch ,0.26,0.05,91.3,0.0,9.0,0.0,2.0,381
Fish (appolo) ,13.9,13.1,10.3,0.99,282,59.0,33.0,217
Fish (dry) ,25.7,5.44,0.0,not found,77.0,76.0,9.0,159
Cotton ,0.0,0.0,100,100,0.0,not found,not found,393
Cassava meal (attieke) ,1.42,3.02,39.6,1.77,146,2.0,17.0,191
Maize meal ,8.75,5.09,73.9,not found,5.0,not found,5.0,364
"Meat (goat, with bones) ",20.6,2.31,0.0,not found,82.0,57.0,13.0,109
Transport (public) ,6.9,0.0,72.4,51.7,0.0,0.0,0.0,310
Maize meal (imported) ,8.75,5.09,73.9,not found,5.0,not found,5.0,364
Fuel (kerosene) ,0.84,0.0,8.86,7.59,36.0,not found,15.0,38.0
Potatoes (unica) ,3.89,11.2,13.4,1.51,221,68.0,34.0,170
"Oil (vegetable, local) ",0.0,100,0.0,0.0,0.0,0.0,0.0,886
Tomatoes (greenhouse) ,0.88,0.2,3.89,2.63,5.0,0.0,10.0,18.0
Lettuce ,1.13,0.14,2.92,1.38,19.0,0.0,27.0,14.0
Apples ,0.0,0.0,14.3,10.4,0.0,0.0,0.0,52.0
"Rice (short grain, low quality, local) ",2.36,0.19,28.7,not found,0.0,0.0,1.0,130
Cucumbers ,1.01,0.0,2.02,1.01,0.0,0.0,16.0,10.0
"Maize (white, dry) ",24.5,24.4,2.04,0.55,1810.0,78.0,661,325
"Onions (white, dry) ",9.0,3.0,67.6,not found,4190.0,2.0,280,1350.0
Pineapples ,0.0,0.0,87.5,75.0,50.0,0.0,50.0,350
Peppers (fresh) ,3.15,0.64,2.65,0.3,4.0,0.0,177,94.0
Watermelons ,0.61,0.15,7.55,6.2,1.0,0.0,7.0,127
Oat flakes ,10.0,3.0,78.0,22.0,380,0.0,80.0,380
Beans (pod) ,7.92,0.73,17.6,9.21,25.0,0.0,37.0,368
"Onions (red, dry) ",9.0,3.0,67.6,not found,4190.0,2.0,280,1350.0
Potatoes (super chola) ,0.97,6.87,5.61,0.0,735,0.0,94.0,81.0
Strawberries ,0.71,0.0,9.29,6.43,0.0,0.0,14.0,36.0
Melons (cantaloupe) ,0.82,0.18,8.16,not found,30.0,not found,9.0,141
Naranjilla (hybrid) ,0.44,0.22,5.9,3.74,4.0,not found,8.0,103
"Plantains (barraganete, mature) ",2.91,0.604,2.64,not found,107,not found,66.6,not found
"Plantains (barraganete, green) ",1.09,0.08,29.2,2.25,2.0,not found,3.0,121
