food_type,protein,fat,carb,sugar,sodium,cholesterol,calcium,kcal
Eggs (broiler) ,15.2,35.2,0.7,0.7,335,120,34.0,378
Garlic (medium) ,10.9,1.52,75.4,1.1,2.0,0.0,24.0,349
Rice (medium quality) ,2.38,0.21,28.6,not found,0.0,0.0,3.0,130
Sugar (local) ,0.0,0.31,99.4,99.2,1.0,0.0,1.0,384
Sugar (premium) ,0.0,0.31,99.4,99.2,1.0,0.0,1.0,384
"Oil (vegetable, bulk) ",0.0,100,0.0,0.0,0.0,0.0,0.0,886
"Oil (vegetable, packaged) ",3.13,28.0,51.8,36.8,285,0.0,11.0,456
"Onions (shallot, medium) ",2.5,0.1,16.8,7.87,12.0,0.0,37.0,301
"Meat (beef, first quality) ",17.5,10.7,7.19,1.85,420,74.0,65.0,200
"Chili (bird's eye, red) ",5.39,1.27,3.03,0.29,733,17.0,6.0,46.0
"Chili (red, large) ",1.87,0.44,8.81,5.3,9.0,0.0,14.0,166
Bulgur ,12.5,2.27,67.0,1.14,11.0,0.0,45.0,341
Bread (khoboz) ,5.96,17.6,47.2,24.8,304,41.0,146,364
Fuel (gas) ,10.4,5.57,11.2,1.54,354,26.0,19.0,134
Meat (lamb) ,15.2,5.2,0.0,0.0,42.0,38.0,7.0,112
Toothbrush ,not found,not found,not found,not found,not found,not found,not found,not found
Sanitary pads ,8.14,7.47,14.4,4.08,385,45.0,22.0,154
Toothpaste ,0.0,0.0,92.5,70.0,62.0,not found,not found,350
Shampoo ,not found,not found,not found,not found,not found,not found,not found,not found
Disinfecting solution ,0.0,0.0,2.45,2.45,101,0.0,10.0,10.0
"Rice (glutinous, unmilled) ",2.01,0.19,21.0,0.05,227,0.0,2.0,96.0
Radish ,0.68,0.1,3.4,1.86,39.0,0.0,25.0,16.0
Oil (olive) ,0.0,100,0.0,0.0,2.0,0.0,1.0,884
Bread (pita) ,9.1,1.2,55.7,1.3,536,0.0,86.0,275
"Cheese (white, boiled) ",2.17,0.47,5.29,2.34,238,0.0,6.0,117
"Milk (cow, pasteurized) ",25.9,16.4,0.0,0.0,372,86.0,13.0,257
Buckwheat grits ,13.2,3.4,71.5,not found,1.0,0.0,18.0,343
Semolina ,10.9,2.17,78.3,0.0,22.0,0.0,0.0,376
Kefir ,3.33,3.33,3.75,2.92,38.0,12.0,125,58.0
Cheese (low,not found,not found,not found,not found,not found,not found,not found,not found
Apples (dried) ,0.93,0.32,65.9,57.2,87.0,0.0,14.0,243
Walnuts ,14.3,60.7,17.9,3.57,18.0,0.0,71.0,643
Cheese (fat) ,27.4,20.4,2.67,0.26,628,76.0,761,316
"Meat (buffalo, first quality) ",20.4,1.37,0.0,not found,53.0,46.0,12.0,99.0
"Meat (buffalo, second quality) ",20.4,1.37,0.0,not found,53.0,46.0,12.0,99.0
"Meat (pork, first quality) ",14.0,7.1,0.0,0.0,42.0,48.0,5.0,124
"Meat (pork, second quality) ",14.0,7.1,0.0,0.0,42.0,48.0,5.0,124
"Rice (glutinous, first quality) ",2.01,0.19,21.0,0.05,227,0.0,2.0,96.0
"Rice (glutinous, second quality) ",2.01,0.19,21.0,0.05,227,0.0,2.0,96.0
"Rice (ordinary, unmilled) ",5.13,2.25,17.3,0.87,316,53.0,15.0,112
Garlic (small) ,23.5,1.28,not found,not found,not found,not found,149,not found
"Fish (tilapia, farmed) ",20.1,1.7,0.0,0.0,52.0,50.0,10.0,400
"Rice (imported, Egyptian) ",22.2,4.36,0.1,0.0,40.0,55.0,4.0,537
Bulgur (brown) ,3.08,0.24,18.6,0.1,5.0,0.0,10.0,83.0
Lentils (green) ,3.67,5.61,12.3,3.24,383,0.0,25.0,110
Lentils (red) ,23.9,2.17,63.1,not found,7.0,0.0,48.0,1500.0
Bread (brown) ,10.7,4.53,47.5,5.73,473,0.0,125,274
Beans (sugar,not found,not found,not found,not found,not found,not found,not found,not found
"Rice (white, imported) ",6.5,4.21,25.2,0.21,231,0.0,54.0,164
Cane juice (strong) ,7.5,1.5,86.8,27.8,398,0.0,29.0,371
Bitterball ,not found,not found,not found,not found,not found,not found,not found,not found
Cane juice (light) ,0.13,0.05,5.17,4.97,4.0,0.0,6.0,21.0
Chili (green) ,0.72,0.27,4.6,not found,397,0.0,36.0,21.0
Diapers ,not found,not found,not found,not found,not found,not found,not found,not found
Dishwashing liquid ,0.0,0.0,2.1,0.0,0.0,0.0,0.0,46.0
Couscous ,13.3,0.0,77.8,2.22,0.0,0.0,33.0,378
Sorghum (taghalit) ,10.6,3.46,72.1,2.53,2.0,0.0,13.0,329
Wheat meal ,10.5,0.49,77.2,0.7,3.0,0.0,377,365
Feed (flour) ,2.86,4.77,11.2,10.5,36.0,2.0,93.0,99.0
Feed (wheat bran) ,15.6,4.25,64.5,0.41,2.0,0.0,73.0,216
Feed (rakhel) ,2.86,4.77,11.2,10.5,36.0,2.0,93.0,99.0
Straw ,3.83,0.68,4.64,not found,384,0.0,10.0,32.0
Sorghum (r'haya) ,10.6,3.46,72.1,2.53,2.0,0.0,13.0,329
Meat (camel) ,17.5,11.0,7.19,1.82,419,75.0,65.0,202
Tortilla ,5.26,2.63,44.7,0.0,39.0,0.0,211,211
"Beans (black, Veracruz) ",10.6,6.81,19.1,0.36,275,11.0,24.0,177
"Beans (black, Zacatecas) ",10.6,6.81,19.1,0.36,275,11.0,24.0,177
"Rice (long grain, Sinaloa) ",2.91,0.37,26.0,0.11,2.0,0.0,19.0,123
"Rice (small grain, Morelos) ",2.38,0.21,28.6,not found,0.0,0.0,3.0,130
"Beans (black, Nayarit) ",10.6,6.81,19.1,0.36,275,11.0,24.0,177
"Maize meal (white, first grade) ",10.7,0.0,2.36,not found,not found,not found,not found,55.0
"Sugar (brown, local) ",0.12,0.0,98.1,97.0,28.0,0.0,83.0,380
"Maize meal (white, with bran) ",7.63,1.87,80.4,33.0,466,0.0,33.0,342
Beans (butter) ,1.03,2.55,4.0,1.25,293,4.0,36.0,40.0
Beans (magnum) ,5.44,3.7,15.9,0.99,443,0.0,26.0,119
"Groundnuts (large, shelled) ",6.5,28.6,56.2,4.23,467,0.0,21.0,508
Beans (catarino) ,5.44,3.7,15.9,0.99,443,0.0,26.0,119
"Maize meal (white, without bran) ",3.79,13.2,49.6,30.0,429,0.0,49.0,330
"Groundnuts (small, shelled) ",6.5,28.6,56.2,4.23,467,0.0,21.0,508
"Sugar (brown, imported) ",0.12,0.0,98.1,97.0,28.0,0.0,83.0,380
Chickpeas (local) ,8.23,8.91,25.5,4.46,222,0.0,46.0,210
"Oil (mixed, imported) ",2.05,3.54,8.58,2.72,243,0.0,21.0,70.0
Rice (Emata) ,5.13,2.25,17.3,0.87,316,53.0,15.0,112
Bread (vetkoek) ,5.96,17.6,47.2,24.8,304,41.0,146,364
Bread (brotchen) ,5.96,17.6,47.2,24.8,304,41.0,146,364
Bread (traditional) ,0.55,0.13,11.8,8.29,1.0,not found,13.0,190
Lentils (broken) ,3.67,5.61,12.3,3.24,383,0.0,25.0,110
Potatoes (red) ,2.3,0.15,19.6,1.43,12.0,0.0,9.0,362
"Beans (kidney, pinto) ",10.5,6.78,18.3,0.36,275,11.0,24.0,173
Cowpeas (brown) ,4.1,0.25,4.82,not found,7.0,0.0,63.0,29.0
Sorghum (brown) ,10.6,3.46,72.1,2.53,2.0,0.0,13.0,329
"Cassava meal (gari, yellow) ",1.42,3.02,39.6,1.77,146,2.0,17.0,191
Gari (white) ,1.79,1.79,78.6,0.0,41.0,0.0,0.0,339
"Rice (milled, local) ",6.4,1.89,85.1,8.0,809,0.0,370,375
Yam (Abuja) ,1.53,0.17,27.9,0.5,9.0,0.0,17.0,494
Ghee (artificial) ,0.28,99.5,0.0,0.0,2.0,256,4.0,876
Poultry ,0.71,2.62,5.29,0.3,389,5.0,10.0,48.0
Beans(mash) ,2.15,4.06,17.6,2.13,212,10.0,25.0,113
Wheat flour (locally processed) ,9.61,1.95,74.5,1.02,3.0,0.0,33.0,332
"Rice (milled, superior) ",6.4,1.89,85.1,8.0,809,0.0,370,375
Maize flour (yellow) ,8.75,5.09,73.9,not found,5.0,not found,5.0,364
Maize flour (white) ,8.75,5.09,73.9,not found,5.0,not found,5.0,364
Wheat flour (high grade) ,30.8,37.1,26.6,not found,41.0,0.0,159,526
Oil ,0.0,93.3,0.0,0.0,833,0.0,not found,867
"Rice (long grain, high quality, local) ",2.91,0.37,26.0,0.11,2.0,0.0,19.0,123
Maize flour (imported) ,8.75,5.09,73.9,not found,5.0,not found,5.0,364
Maize (imported) ,8.75,5.09,73.9,not found,5.0,not found,5.0,364
Pigeon peas ,8.0,not found,16.0,0.0,28.0,1.0,60.0,110
Fish (herring) ,0.0,100,0.0,not found,0.0,766,0.0,902
Potato Leaves ,2.49,0.51,8.82,not found,6.0,0.0,78.0,42.0
"Milk (cow, fresh) ",25.9,16.4,0.0,0.0,372,86.0,13.0,257
Chicken ,24.7,9.41,1.18,1.18,353,82.0,0.0,188
Sorghum flour ,11.8,2.94,73.5,0.0,0.0,0.0,0.0,353
"Sorghum (white, imported) ",10.6,3.46,72.1,2.53,2.0,0.0,13.0,329
"Sorghum (red, local) ",10.6,3.46,72.1,2.53,2.0,0.0,13.0,329
Okra (dry) ,3.76,12.7,22.1,1.42,316,10.0,52.0,217
"Peas (yellow, split, food aid) ",3.2,1.09,9.88,3.19,336,0.0,12.0,61.0
Milk (fresh) ,2.15,4.06,17.6,2.13,212,10.0,25.0,113
"Fuel (diesel, parallel market) ",0.84,0.0,8.86,7.59,36.0,not found,15.0,38.0
Milling cost (sorghum) ,10.6,3.46,72.1,2.53,2.0,0.0,13.0,329
"Oil (vegetable, fortified, food aid) ",3.43,14.7,41.4,0.3,210,0.0,18.0,312
Milling cost (maize) ,12.4,6.6,73.2,4.5,497,0.0,357,372
Millet (white) ,10.8,4.25,75.1,1.66,4.0,not found,14.0,1600.0
Coconut ,3.57,35.7,46.4,42.9,261,0.0,0.0,500
"Onions (red, local) ",0.94,0.1,9.93,not found,1.0,not found,17.0,186
"Onions (red, imported) ",0.94,0.1,9.93,not found,1.0,not found,17.0,186
Potatoes (local) ,3.89,11.2,13.4,1.51,221,68.0,34.0,170
Potatoes (imported) ,22.2,4.36,0.1,0.0,40.0,55.0,4.0,537
Rice (red nadu) ,3.96,3.46,23.7,0.15,370,not found,15.0,142
Rice (red) ,3.96,3.46,23.7,0.15,370,not found,15.0,142
"Fish (dry, katta) ",25.7,5.44,0.0,not found,77.0,76.0,9.0,159
"Fish (dry, sprats) ",25.7,5.44,0.0,not found,77.0,76.0,9.0,159
Fish (yellowfin tuna) ,24.4,0.49,0.0,0.0,45.0,39.0,4.0,454
Fish (sail fish) ,13.9,13.1,10.3,0.99,282,59.0,33.0,217
Fish (skipjack tuna) ,22.0,1.01,0.0,not found,37.0,47.0,29.0,103
Fish (jack) ,23.2,6.3,0.0,0.0,379,79.0,241,156
Fish (trenched sardinella) ,13.9,13.1,10.3,0.99,282,59.0,33.0,217
Bananas (medium size) ,4.52,10.8,31.0,13.9,191,38.0,59.0,237
Cauliflower ,0.0,0.0,3.53,0.0,18.0,0.0,0.0,18.0
"Onions (dry, local) ",9.0,3.0,67.6,not found,4190.0,2.0,280,1350.0
Potatoes (medium size) ,3.0,16.1,42.6,21.4,333,0.0,22.0,316
Labaneh ,not found,not found,not found,not found,not found,not found,not found,not found
Cheese (goat) ,21.6,29.8,0.12,0.12,415,79.0,298,364
Beans (sugar) ,3.29,0.12,60.7,not found,83.0,0.0,27.0,260
"Meat (beef, minced) ",17.5,10.7,7.19,1.85,420,74.0,65.0,200
"Meat (chicken, plucked) ",25.3,8.1,0.9,0.0,482,50.0,14.0,185
Bread (bakery) ,3.13,10.7,52.8,8.36,528,not found,24.0,1340.0
Bread (shop) ,5.96,17.6,47.2,24.8,304,41.0,146,364
"Livestock (sheep, two",not found,not found,not found,not found,not found,not found,not found,not found
Parsley ,0.0,0.0,0.0,not found,0.0,not found,not found,0.0
"Fuel (gas, parallel market) ",10.4,5.57,11.2,1.54,354,26.0,19.0,134
Multipurpose soap ,0.0,100,0.0,not found,0.0,0.0,0.0,884
"Meat (chicken, legs) ",16.4,16.0,0.17,0.0,84.0,93.0,9.0,214
"Noodles (instant, indomie) ",1.03,0.44,4.17,0.13,215,5.0,6.0,25.0
Oil (cotton) ,not found,not found,not found,not found,not found,not found,not found,not found
Bread (common) ,2.55,0.95,14.3,8.92,2.0,0.0,18.0,68.0
Meat (veal) ,13.1,2.45,1.51,0.0,39.0,33.0,6.0,337
"Milk (powder, infant formula) ",1.4,3.49,7.38,7.38,21.0,0.0,53.0,66.0
Zucchini ,1.05,0.0,4.21,3.16,0.0,0.0,21.0,21.0
Electricity ,0.0,0.0,0.0,not found,0.0,not found,not found,0.0
Tea (herbal) ,0.0,0.0,0.2,0.0,1.0,0.0,2.0,1.0
Water ,0.0,0.0,10.8,10.8,8.0,not found,not found,42.0
Millet (bulrush) ,10.8,4.25,75.1,1.66,4.0,not found,14.0,1600.0
Beans (kidney red) ,22.5,1.06,61.3,2.1,12.0,0.0,83.0,1410.0
"Peas (yellow, split) ",3.2,1.09,9.88,3.19,336,0.0,12.0,61.0
Milling cost (wheat) ,9.8,1.8,82.2,10.3,570,0.0,213,345
"Maize meal (white, roller) ",8.75,5.09,73.9,not found,5.0,not found,5.0,364
"Maize meal (white, breakfast) ",8.75,5.09,73.9,not found,5.0,not found,5.0,364
