0
Baked Products
Other starchy vegetables
"Chips, Pretzels & Snacks"
Cereal Grains and Pasta
Sweets
Sausages and Luncheon Meats
Dairy and Egg Products
Pre-Packaged Fruit & Vegetables
Fats and Oils
Finfish and Shellfish Products
Salad dressings and vegetable oils
"Bean, pea, legume dishes"
"Tortilla, corn, other chips"
Cakes and pies
Poultry Products
Nuts and seeds
Fruits and Fruit Juices
Vegetables and Vegetable Products
Restaurant Foods
Other vegetables and combinations
Shellfish
Liquor and cocktails
"Dips, gravies, other sauces"
Frozen Vegetables
Frozen Fruit & Fruit Juice Concentrates
Canned Vegetables
Legumes and Legume Products
Spices and Herbs
Butter & Spread
Wholesome Snacks
Flavored Rice Dishes
Canned & Bottled Beans
"Soups, Sauces, and Gravies"
Tea
Yogurt
"Popcorn, Peanuts, Seeds & Related Snacks"
Beef Products
Iced & Bottle Tea
Candy
"Beans, peas, legumes"
Breakfast Cereals
French fries and other fried white potatoes
Mashed potatoes and white potato mixtures
Butter and animal fats
Vegetable and Lentil Mixes
Other Grains & Seeds
String beans
Other Drinks
Eggs & Egg Substitutes
Soups
"Beef, excludes ground"
"Milk, whole"
Pasta by Shape & Type
Vegetable & Cooking Oils
Not included in a food category
Other red and orange vegetables
Baking Decorations & Dessert Toppings
Fried vegetables
Cereal
Mexican Dinner Mixes
