adm0_name,2019
Aruba,109.5343554
Afghanistan,149.8959752
Angola,378.8837215
Albania,119.0492584
United Arab Emirates,114.5246605
Armenia,129.1760073
Antigua and Barbuda,115.4366126
Australia,119.7970864
Austria,118.0579801
Azerbaijan,156.8915643
Burundi,182.11234
Belgium,117.1104572
Benin,110.7200402
Burkina Faso,108.3590229
Bangladesh,179.6798217
Bulgaria,114.4183932
Bahrain,118.7721119
The Bahamas,116.2189112
Bosnia and Herzegovina,104.8961374
Belarus,508.3392944
Bolivia,148.3175185
Brazil,167.3978603
Barbados,134.0911741
Brunei Darussalam,99.02681657
Bhutan,167.1824587
Botswana,149.7536988
Central African Republic,151.7850853
Canada,116.7572982
Switzerland,99.54689637
Chile,131.913567
China,125.0831544
Cote d'Ivoire,111.6069779
Cameroon,118.6485883
Congo,124.7404961
Colombia,140.9503739
Cape Verde,110.5016065
Costa Rica,128.8457433
Curacao,115.5332021
Cyprus,102.5109919
Czech Republic,116.475542
Germany,112.8548873
Djibouti,120.2509224
Dominica,105.4324753
Denmark,110.3472904
Dominican Republic,132.1722349
Algeria,151.3616678
Ecuador,124.1426747
Egypt,288.5727744
Spain,110.961519
Estonia,122.1423128
Ethiopia,319.0193686
Finland,112.3317121
Fiji,132.2972456
France,110.0485668
Gabon,122.6279263
United Kingdom,119.6227113
Georgia,133.6124667
Ghana,248.4415436
Guinea,262.9498896
Gambia,172.7304356
Guinea-Bissau,112.7180728
Equatorial Guinea,124.3467228
Greece,101.9493921
Grenada,108.0688315
Guatemala,142.9213949
Guyana,116.1914755
Hong Kong,134.5930529
Honduras,150.3443578
Croatia,109.8156764
Haiti,212.8253122
Hungary,121.6420474
Indonesia,151.1766751
India,172.8783283
Ireland,106.5843263
Iran  (Islamic Republic of),550.9294253
Iraq,119.6186996
Iceland,129.0033312
Israel,108.1764389
Italy,110.6235956
Jamaica,162.4915369
Jordan,125.6040026
Japan,105.4821721
Kazakhstan,188.5164343
Kenya,189.966315
Kyrgyzstan,155.6761524
Kiribati,100.4649552
St. Kitts and Nevis,104.2208305
South Korea,115.1585874
Kuwait,126.6015121
Lao People's Democratic Republic,135.8665747
Lebanon,130.0246118
St. Lucia,110.7257925
Sri Lanka,155.528883
Lesotho,155.8581951
Lithuania,118.3820983
Luxembourg,115.0878151
Latvia,116.8569846
Morocco,111.0675582
Moldova,166.1962796
Madagascar,184.3145251
Maldives,136.5631749
Mexico,141.542523
North Macedonia,113.3958333
Mali,108.7260798
Malta,113.4524741
Myanmar,168.1827007
Montenegro,116.7406969
Mongolia,195.7629029
Mozambique,182.3147834
Mauritania,135.0188968
Mauritius,129.9140349
Malawi,418.3443255
Malaysia,121.4630895
Namibia,157.968368
Niger,109.3236868
Nigeria,267.5115151
Nicaragua,162.7396072
Netherlands,115.9079949
Norway,120.2696589
Nepal,188.7299772
New Zealand,114.2409118
Oman,113.5292858
Pakistan,182.3209327
Panama,122.0687134
Peru,129.7845443
Philippines,129.6132572
Papua New Guinea,155.9923731
Poland,114.1117794
Portugal,110.6243586
Paraguay,143.821041
State of Palestine,112.516118
Qatar,115.3808498
Romania,123.7803833
Russian Federation,180.7502637
Rwanda,151.0666524
Saudi Arabia,118.3998255
Sudan,1344.192762
Senegal,109.2512702
Singapore,114.4057859
Solomon Islands,133.0620332
Sierra Leone,234.1587095
El Salvador,111.2283523
Serbia,143.9975736
South Sudan,15749.18876
Suriname,294.6647727
Slovak Republic,115.3389877
Slovenia,111.0510749
Sweden,110.5092198
Swaziland,166.8218664
Seychelles,129.9581975
Chad,117.6982047
Togo,113.310442
Thailand,113.26565
Timor-Leste,146.2208452
Trinidad and Tobago,143.1715781
Tunisia,155.3253735
Turkey,234.4371263
Tanzania,187.4301589
Uganda,173.8712682
Ukraine,281.6585956
Uruguay,202.9219834
United States,117.2441955
St. Vincent and the Grenadines,110.6669977
Vietnam,163.5169479
Vanuatu,117.1296693
Samoa,117.5555221
Kosovo,118.0656464
South Africa,158.9279375
Zambia,212.308759
