,Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Unit
18647,CPIM.SAP0221,2020.01,2.39,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Packaged meal,pasta and sauce,130g,130g
18822,CPIM.SAP0222,2020.01,3.14,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Pasta sauces,tomato based,500g,500g
18997,CPIM.SAP0223,2020.01,5.1,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Pastry,frozen sheets,puff or flaky,800g
19172,CPIM.SAP0224,2020.01,4.97,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Pears,1kg,0,1kg
19347,CPIM.SAP0225,2020.01,2.14,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Pineapple,pieces,in juice or syrup,425g
19505,CPIM.SAP0226,2020.01,3.2,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Pineapple,1kg,0,1kg
19680,CPIM.SAP0227,2020.01,2.33,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Biscuits,plain (eg arrowroot,ginger,250g
19855,CPIM.SAP0228,2020.01,3.21,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Potato fries,frozen,1kg,1kg
19941,CPIM.SAP0229,2020.01,16.57,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Prawns,frozen,700g,700g
20116,CPIM.SAP0230,2020.01,5.54,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Prepared meals,frozen,340g,340g
20291,CPIM.SAP0231,2020.01,3.44,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Pumpkin,1kg,0,1kg
